Line	POP_CODE	Caste system	Family	Genus	Species	Colony Tag	Samples	Year	Month	Day	Locality	Country	Type	n_colonies	n_colonies	n_collections	Method	n_eggs_M	n_eggs_F	SR_eggs	n_larvae_M	n_larvae_F	n_workers_M	n_workers_F	SR_workers	n_soldiers_M	n_soldiers_F	SR_soldiers	n_immatures_M	n_immatures_F	SR_immatures	n_forked_neuters_NO_soldiers_M	n_forked_neuters_NO_soldiers_F	SR_forked_neuters_NO_soldiers	n_forked_neuters_WITH_soldiers_M	n_forked_neuters_WITH_soldiers_F	SR_forked_neuters_WITH_soldiers	n_nymphs_M	n_nymphs_F	SR_nymphs	n_linear_immatures_&_soldiers_M	n_linear_immatures_&_soldiers_F	SR_linear_immatures_soldiers	n_neotenics_M	n_neotenics_F	n_neotenicsX_M	n_neotenicsX_F	n_primaries_M	n_primaries_F	n_alates_M	n_alates_F	n_alates_tot	alate_type	SR_alates	n_nymphs+alates_M	n_nymphs+alates_F	Reproductives in the nest	Colony-level_linear_forked	n_males	n_females	n_tot	SR (prop_fem)	References	Comments on reference	Additional comments on data
56	K_CryDom	Linear	Kalotermitidae	Cryptotermes	domesticus	9	1	2004 -> 2008			Zhanjiang, Guangdong, Guangzhou	China		Single collection, single colony	1	1	Lab-held nest, initiated in 2004, counted in 2008									3	1	0.25	34	25											37	26	0.412698413										0				Primaries	Immatures(larvae+nymphs)+soldiers	37	26	63	0.412698413	Huang et al. 2012	immatures are larvae and nymphs	
57	K_CryDom	Linear	Kalotermitidae	Cryptotermes	domesticus	10	1	2004 -> 2008			Zhanjiang, Guangdong, Guangzhou	China		Single collection, single colony	1	1	Lab-held nest, initiated in 2004, counted in 2008									1	2	0.666666667	30	20											31	22	0.41509434										0				Primaries	Immatures(larvae+nymphs)+soldiers	31	22	53	0.41509434	Huang et al. 2012	immatures are larvae and nymphs	
58	K_CryDom	Linear	Kalotermitidae	Cryptotermes	domesticus	11	1	2004 -> 2008			Zhanjiang, Guangdong, Guangzhou	China		Single collection, single colony	1	1	Lab-held nest, initiated in 2004, counted in 2008									1	1	0.5	16	12											17	13	0.433333333										0				Primaries	Immatures(larvae+nymphs)+soldiers	17	13	30	0.433333333	Huang et al. 2012	immatures are larvae and nymphs	
59	K_CryDom	Linear	Kalotermitidae	Cryptotermes	domesticus	12	1	2004 -> 2008			Zhanjiang, Guangdong, Guangzhou	China		Single collection, single colony	1	1	Lab-held nest, initiated in 2004, counted in 2008									2	1	0.333333333	22	17											24	18	0.428571429										0				Primaries	Immatures(larvae+nymphs)+soldiers	24	18	42	0.428571429	Huang et al. 2012	immatures are larvae and nymphs	
60	K_CryDom	Linear	Kalotermitidae	Cryptotermes	domesticus	13	1	2004 -> 2008			Zhanjiang, Guangdong, Guangzhou	China		Single collection, single colony	1	1	Lab-held nest, initiated in 2004, counted in 2008									1	2	0.666666667	19	13											20	15	0.428571429										0				Primaries	Immatures(larvae+nymphs)+soldiers	20	15	35	0.428571429	Huang et al. 2012	immatures are larvae and nymphs	
61	K_CryDom	Linear	Kalotermitidae	Cryptotermes	domesticus	6 colonies	1	2004			Zhanjiang, Guangdong, Guangzhou	China		Several collections, several colonies	6	++	Field. Pop 1									14	9	0.391304348	354	278											368	287	0.438167939										0				Primaries	Immatures(larvae+nymphs)+soldiers	368	287	655	0.438167939	Huang et al. 2012	immatures are larvae and nymphs	
62	K_CryDom	Linear	Kalotermitidae	Cryptotermes	domesticus	8 colonies	1	2004			Zhanjiang, Guangdong, Guangzhou	China		Several collections, several colonies	8	++	Field. Pop 2									11	14	0.56	375	240											386	254	0.396875										0				Primaries	Immatures(larvae+nymphs)+soldiers	386	254	640	0.396875	Huang et al. 2012	immatures are larvae and nymphs	
63	K_CryDom	Linear	Kalotermitidae	Cryptotermes	domesticus	12 colonies	1	2004			Zhanjiang, Guangdong, Guangzhou	China		Several collections, several colonies	12	++	Field. Pop 3									20	16	0.444444444	508	346											528	362	0.406741573										0				Primaries	Immatures(larvae+nymphs)+soldiers	528	362	890	0.406741573	Huang et al. 2012	immatures are larvae and nymphs	
64	K_CrySec	Linear	Kalotermitidae	Cryptotermes	secundus			2000-2004			Darwin	Australia	Total	Several colonies	6	1	Ethanol-preserved colonies									NA	NA	0.8	NA	NA	0.5							NA	NA	0.5													0				NA	Immatures(larvae+nymphs)+soldiers	NA	NA	NA	NA	Muller & Korb 2008	"n: False workers (<600), Nymphs (<100), Soldiers (<100). False workers and Nymphs: Extrapolated from Figure 3; males and females in about equal numbers."	
65	K_GlyNak_S	Linear	Kalotermitidae	Glyptotermes	nakajimai (sexual)	IZ150430A	1	2015	April	30	Izumo, Kushimoto, Wakayama	Honshu	Sample	Single collection, single colony	1	1							47	53		9	2																	1	0			9	13				0				PQ, PK, NeoK	Immatures(workers)+soldiers+neotenics	57	55	112	0.491071429	Yashiro et al. 2018		
